# Daylesford Selectronic (LiveOne device handle 1, select.live system 1586)
# Hourly energy + battery SoC for the 24 hours ending 2026-09-11 14:00 Australia/Melbourne.
# Retrieved 2026-09-11 14:10 local from POST https://select.live/dashboard/chartdata/1586
#   (chartdate=<day>&range=1&intervals=288&shiftdate=0), the only historical surface select.live
#   exposes. HOURLY is the vendor's floor: `intervals` is a max-points cap, and 25/26/30/36/48/72/
#   96/288 all return exactly 24 points for a day.
#
# Covers the 2026-09-10 13:42Z -> 22:50Z outage (23:42 -> 08:50 local), for which LiveOne holds
# almost nothing: this device is live-poll only and its readings were never taken. See
# 2026-09-11-prod-down-planetscale-role-deleted.md.
#
# Columns map to the portal chart legend: solar = "Solar", load = "Load",
# ac_source_in = "Gen Import" (the site is off-grid, so the AC source is the generator),
# grid_export = "Grid Export", battery_soc = "SOC". Energy is kWh accumulated in each hour;
# the timestamp is the START of the bucket, in local time at a fixed +10 offset.
timestamp_local,solar_kwh,load_kwh,ac_source_in_kwh,grid_export_kwh,battery_soc_pct
2026-09-10 14:00,0.512,0.427,0,0,100
2026-09-10 15:00,0.605,0.427,0,0,100
2026-09-10 16:00,1.735,2.648,0,0,99.4
2026-09-10 17:00,0.263,2.562,0,0,96.8
2026-09-10 18:00,0.092,2.904,0,0,92.5
2026-09-10 19:00,0,3.843,0,0,86.3
2026-09-10 20:00,0,2.733,0,0,81.2
2026-09-10 21:00,0.092,2.733,0,0,76.7
2026-09-10 22:00,0,2.989,0,0,71.8
2026-09-10 23:00,0,2.733,0,0,67.2
2026-09-11 00:00,0.093,2.648,0,0,62.6
2026-09-11 01:00,0,2.562,0,0,58.2
2026-09-11 02:00,0,2.477,0,0,53.9
2026-09-11 03:00,0.092,2.562,0,0,49.7
2026-09-11 04:00,0,2.477,0,0,45.5
2026-09-11 05:00,0,2.477,0,0,41.2
2026-09-11 06:00,0,2.562,0,0,36.9
2026-09-11 07:00,1.302,2.818,0,0,32.8
2026-09-11 08:00,3.044,2.733,0,0,31.5
2026-09-11 09:00,4.807,2.648,0,0,33.3
2026-09-11 10:00,5.952,1.195,0,0,37.9
2026-09-11 11:00,6.57,0.769,0,0,45.3
2026-09-11 12:00,6.662,1.111,0,0,53.2
2026-09-11 13:00,6.222,1.366,0,0,60.2
