⣾  Connecting to database
ID       SYSTEM ID     INVERTER TIME     RECEIVED TIME     DELAY SECONDS     SOLAR POWER           SOLAR INVERTER POWER     SHUNT POWER         LOAD POWER             BATTERY POWER         GRID POWER     BATTERY SOC     FAULT CODE     FAULT TIMESTAMP     GENERATOR STATUS     SOLAR KWH TOTAL     LOAD KWH TOTAL     BATTERY IN KWH TOTAL     BATTERY OUT KWH TOTAL     GRID IN KWH TOTAL     GRID OUT KWH TOTAL     CREATED AT              SOLAR W     SOLAR INVERTER W     SHUNT W     LOAD W     BATTERY W     GRID W 
4785     1             1755404378        1755404382        4                 1358.36181640625      989.22119140625          369.140625          243.3021545410156      -1080.50537109375     0              27              0              0                   0                    924.862             824.968            568.846                  574.106                   0                     0                      2025-08-17 04:19:42     NULL        NULL                 NULL        NULL       NULL          NULL       
4784     1             1755404315        1755404321        6                 1192.3828125          854.00390625             338.37890625        311.3555908203125      -872.86376953125      0              27              0              0                   0                    924.862             824.968            568.846                  574.106                   0                     0                      2025-08-17 04:18:42     NULL        NULL                 NULL        NULL       NULL          NULL       
4783     1             1755404258        1755404261        3                 1174.30419921875      839.7705078125           334.53369140625     268.6553955078125      -861.328125           0              27              0              0                   0                    924.862             824.968            568.846                  574.106                   0                     0                      2025-08-17 04:17:42     NULL        NULL                 NULL        NULL       NULL          NULL       
4782     1             1755404201        1755404202        1                 1194.677734375        825.537109375            369.140625          221.06246948242188     -965.14892578125      0              27              0              0                   0                    924.862             824.968            568.846                  574.106                   0                     0                      2025-08-17 04:16:42     NULL        NULL                 NULL        NULL       NULL          NULL       
4781     1             1755404137        1755404142        5                 1372.76611328125      953.6376953125           419.12841796875     289.11590576171875     -1045.8984375         0              26.9            0              0                   0                    924.862             824.968            568.753                  574.106                   0                     0                      2025-08-17 04:15:42     NULL        NULL                 NULL        NULL       NULL          NULL       
4780     1             1755404080        1755404082        2                 1431.134033203125     992.779541015625         438.3544921875      268.2106018066406      -1130.4931640625      0              26.9            0              0                   0                    924.777             824.968            568.753                  574.106                   0                     0                      2025-08-17 04:14:42     NULL        NULL                 NULL        NULL       NULL          NULL       
4779     1             1755404017        1755404021        4                 1478.94287109375      1067.5048828125          411.43798828125     295.7878112792969      -1184.326171875       0              26.9            0              0                   0                    924.777             824.968            568.753                  574.106                   0                     0                      2025-08-17 04:13:42     NULL        NULL                 NULL        NULL       NULL          NULL       
4778     1             1755403959        1755403962        3                 1511.541748046875     1092.413330078125        419.12841796875     276.2168884277344      -1188.17138671875     0              26.8            0              0                   0                    924.777             824.968            568.753                  574.106                   0                     0                      2025-08-17 04:12:42     NULL        NULL                 NULL        NULL       NULL          NULL       
4777     1             1755403897        1755403902        5                 1545.001220703125     1106.646728515625        438.3544921875      258.86993408203125     -1242.00439453125     0              26.8            0              0                   0                    924.777             824.968            568.753                  574.106                   0                     0                      2025-08-17 04:11:42     NULL        NULL                 NULL        NULL       NULL          NULL       
4776     1             1755403839        1755403841        2                 1288.17138671875      953.6376953125           334.53369140625     962.0887756347656      -273.01025390625      0              26.8            0              0                   0                    924.599             824.968            568.661                  574.106                   0                     0                      2025-08-17 04:10:42     NULL        NULL                 NULL        NULL       NULL          NULL       
